รุ่น	หมวด	ชื่อในไฟล์ถอดทุน	ราคาที่ใช้อยู่	หน่วย	รหัสสโตร์ (กรอกตรงนี้)
บานเฟี้ยม	อุปกรณ์	อุปกรณ์เฟี้ยม (ชุด)	1	ชุด	
บานเลื่อนรางบน	อุปกรณ์	รางบน Hafele	2010	เส้น	
บานเลื่อนรางบน	อุปกรณ์	เสารับ 1"x4"	905	เส้น	
บานเลื่อนรางบน	อุปกรณ์	คานรับราง 1.6"x4"	1220	เส้น	
บานเลื่อนรางบน	อุปกรณ์	ชนกลางรับบาน	300	ท่อน	
บานเลื่อน E-series	อุปกรณ์	ล้อ ehr-80 (2/บานเลื่อน)	135	ลูก	
ประตูบานเปิด PC Door	อลู	กรอบบานเลื่อน sms (สูง)	1995	เส้น	
ประตูบานเปิด PC Door	อลู	กรอบบานเลื่อน sms (กว้าง)	1995	เส้น	
บานยก	อุปกรณ์	กล่องอุปกรณ์	1350	ชุด	
บานยก	อุปกรณ์	กล่องอุปกรณ์ (ถ่วง)	2520	ชุด	
บานยก	อุปกรณ์	มือจับ	60	ตัว	
บานยก	อุปกรณ์	ล๊อคกลาง	70	ตัว	
บานยก	อุปกรณ์	คอยสปริง	160	ตัว	
บานยก	อุปกรณ์	ฝาปิดฝุ่น	10	ตัว	
บานยก	อุปกรณ์	ตลับตะขอเกี่ยว	130	ตัว	
บานยก	อุปกรณ์	กิ๊ปล็อค	20	ตัว	
บานยก	อุปกรณ์	กล่องใส่สปริง	30	ตัว	
บานเฟี้ยม ยูโร	สิ้นเปลือง	สักหลาด 5mm	1.22	ม.	
บานเกล็ด	อุปกรณ์	เฟรม 1"×4" (รอบ+เสาแบ่ง)	905	เส้น	
บานเกล็ด	อุปกรณ์	ขาเกล็ดโยก	1	ชุด	
บานเกล็ด	อุปกรณ์	ใบเกล็ด	572	เส้น	
บานเกล็ด	อุปกรณ์	ยู4หุน เกล็ดติดตาย	1	ชุด	
